"Source:","D:\Users\turbo\Desktop\github\Balthazar\BalthazarCM4IO\CM4IOv5.kicad_sch"
"Date:","10/03/2022 12:21:29"
"Tool:","Eeschema (6.0.2)"
"Generator:","E:\KiCad\6\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","93"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Field4","Field5","Field6","Field7","Field8","Part Description"
"","","C2","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","	10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
"","","C3","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"","","C4","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"","","C5","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","	10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
"","","C6","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","	10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
"","","C7","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"","","C8","27pF","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM1555C1H270JB01-01.pdf","Digikey","490-17672-1-ND","GJM1555C1H270JB01D","Murata","UCAP00738 ","	27pF 5% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)"
"","","C9","27pF","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM1555C1H270JB01-01.pdf","Digikey","490-17672-1-ND","GJM1555C1H270JB01D","Murata","UCAP00738 ","	27pF 5% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)"
"","","C10","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","	10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
"","","C11","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"","","C12","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"","","C13","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"","","C14","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"","","C15","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"","","C16","100uF","Device:CP","Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D","~","Mouser","667-EEF-CX0J101R","","","","Capacitor, SP-Cap, 100u, 6.3V, 15mR ESR"
"","","C17","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","	10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
"","","C19","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","	10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
"","","C20","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","	10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
"","","C21","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","	10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
"","","C25","10u 35v","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.murata.com/en-global/products/productdetail.aspx?partno=GRM21BC8YA106ME11%23","Digikey","490-10505-1-ND","GRM21BC8YA106KE11L ","Murata","","	10uF 10% or 20% 35V Ceramic Capacitor X6S 0805 (2012 Metric)"
"","","C26","10u 35v","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.murata.com/en-global/products/productdetail.aspx?partno=GRM21BC8YA106ME11%23","Digikey","490-10505-1-ND","GRM21BC8YA106KE11L ","Murata","","	10uF 10% or 20% 35V Ceramic Capacitor X6S 0805 (2012 Metric)"
"","","C27","10u 35v","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.murata.com/en-global/products/productdetail.aspx?partno=GRM21BC8YA106ME11%23","Digikey","490-10505-1-ND","GRM21BC8YA106KE11L ","Murata","","	10uF 10% or 20% 35V Ceramic Capacitor X6S 0805 (2012 Metric)"
"","","C28","10u 35v","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.murata.com/en-global/products/productdetail.aspx?partno=GRM21BC8YA106ME11%23","Digikey","490-10505-1-ND","GRM21BC8YA106KE11L ","Murata","","	10uF 10% or 20% 35V Ceramic Capacitor X6S 0805 (2012 Metric)"
"","","C29","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"","","C30","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","	10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
"","","C31","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","	10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
"","","C32","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","	10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
"","","C33","10u","Device:C","Capacitor_SMD:C_0805_2012Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71A106KA73-01.pdf","Digikey","490-14381-1-ND","GRM21BR71A106KA73L","Murata","111893011","	10uF 10% 10V Ceramic Capacitor X7R 0805 (2012 Metric)"
"","","C43","10u 35v","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.murata.com/en-global/products/productdetail.aspx?partno=GRM21BC8YA106ME11%23","Digikey","490-10505-1-ND","GRM21BC8YA106KE11L ","Murata","","	10uF 10% or 20% 35V Ceramic Capacitor X6S 0805 (2012 Metric)"
"","","C44","10u 35v","Device:C","Capacitor_SMD:C_0805_2012Metric","https://www.murata.com/en-global/products/productdetail.aspx?partno=GRM21BC8YA106ME11%23","Digikey","490-10505-1-ND","GRM21BC8YA106KE11L ","Murata","","	10uF 10% or 20% 35V Ceramic Capacitor X6S 0805 (2012 Metric)"
"","","C45","100uF","Device:CP","Capacitor_Tantalum_SMD:CP_EIA-7343-31_Kemet-D","~","Mouser","667-EEF-CX0J101R","","","","Capacitor, SP-Cap, 100u, 6.3V, 15mR ESR"
"","","C62","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM155R71C104KA88-01.pdf","Farnell","2611911","RM EMK105 B7104KV-F","TAIYO YUDEN EUROPE GMBH","110091611","	0.1uF 10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"
"","","C63","nf","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","","","",""
"","","C64","1.2nF","Device:C","Capacitor_SMD:C_0402_1005Metric","http://www.farnell.com/datasheets/2734135.pdf?_ga=2.259347658.1738794919.1588350964-1787849031.1568210898&_gac=1.15394434.1588350964.EAIaIQobChMIgrHHs4yT6QIVxevtCh39TA_nEAAYASAAEgK8PfD_BwE","Digikey","490-16429-1-ND","GCM155R71H122KA37D","Murata","","1200pF 10% 10V Ceramic Capacitor X5R 0402 (1005 Metric)"
"","","C65","nf","Device:C","Capacitor_SMD:C_0402_1005Metric","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GJM1555C1H270JB01-01.pdf","Digikey","	490-17672-2-ND","GJM1555C1H270JB01D","Murata","","	27pF 5% 50V Ceramic Capacitor C0G, NP0 0402 (1005 Metric)"
"","","D1","LED Red","Device:LED","LED_SMD:LED_0603_1608Metric","http://optoelectronics.liteon.com/upload/download/DS22-2000-210/LTST-S270KRKT.pdf","Digikey ","	LTST-S270KRKT","SML-A12U8TT86Q","Rohm","650295101","	Red 620nm LED Indication - Discrete 2.2V 2-SMD, No Lead"
"","","D2","LED Green","Device:LED","LED_SMD:LED_0603_1608Metric","http://optoelectronics.liteon.com/upload/download/DS22-2000-226/LTST-S270KGKT.pdf","Digikey ","LTST-S270KGKT","SML-A12M8TT86N","Rohm","650263301","	Green 572nm LED Indication - Discrete 2.2V 2-SMD, No Lead"
"","","H1","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_2.7mm_M2.5","~","nf","nf","nf","nf","","M2.5 mounting hole"
"","","H2","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_2.7mm_M2.5","~","nf","nf","nf","nf","","M2.5 mounting hole"
"","","H3","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_2.7mm_M2.5","~","nf","nf","nf","nf","","M2.5 mounting hole"
"","","H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_2.7mm_M2.5","~","nf","nf","nf","nf","","M2.5 mounting hole"
"","","J1","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","nf","nf","nf","nf","","3pin 0.1"" connector"
"","","J2","Conn_02x07_Odd_Even","Connector_Generic:Conn_02x07_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x07_P2.54mm_Vertical","https://www.toby.co.uk/uploads/publications/1673.pdf","Toby","THD-07-R","THD-07-R","Toby","","PinHeader_2x07_P2.54mm_Vertical"
"","","J3","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","nf","nf","nf","nf","","3pin 0.1"" connector"
"","","J4","Conn_01x22_Female","Connector:Conn_01x22_Female","Connector_FFC-FPC:Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal","https://www.hirose.com/product/document?clcode=&productname=&series=FH12&documenttype=Catalog&lang=en&documentid=D31648_en","Mouser","798-FH12-22S-0.5SH55","FH12-22S-0.5SH55","Hirose","","22 Position FFC, FPC Connector Contacts, Bottom 0.020"" (0.50mm) Surface Mount, Right Angle"
"","","J5","Conn_01x22_Female","Connector:Conn_01x22_Female","Connector_FFC-FPC:Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal","https://www.hirose.com/product/document?clcode=&productname=&series=FH12&documenttype=Catalog&lang=en&documentid=D31648_en","Mouser","798-FH12-22S-0.5SH55","FH12-22S-0.5SH55","Hirose","","22 Position FFC, FPC Connector Contacts, Bottom 0.020"" (0.50mm) Surface Mount, Right Angle"
"","","J6","THD-02-R","Connector_Generic:Conn_02x02_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","https://www.toby.co.uk/uploads/publications/1673.pdf","Toby","THD-02-R","151-604-425-761","EDAC","UCON00791","PinHeader_2x02_P2.54mm_Vertical"
"","","J7","Micro_SD_Card_Det","Connector:Micro_SD_Card_Det","CM4IO:SDCARD_MOLEX_503398-1892","https://www.hirose.com/product/en/download_file/key_name/DM3/category/Catalog/doc_file_id/49662/?file_category_id=4&item_id=195&is_series=1","Farnell","2358234","503398-1892","Molex","UCON00512","9 (8 + 1) Position Card Connector microSD™ Surface Mount, Right Angle Gold"
"","","J8","THD-20-R","Connector_Generic:Conn_02x20_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","https://www.toby.co.uk/uploads/publications/1673.pdf","Toby","THD-20-R","THD-20-R","Toby","UCON00511","PinHeader_2x20_P2.54mm_Vertical"
"","","J10","690-019-298-412","CM4IO:HDMI_A_1.4","CM4IO:EDAC 690-019-298-412","https://www.tme.eu/Document/f15dffbcfad8545e17826f72d36911c8/206A-SEAN-R03.pdf","Farnell","2614936","690-019-298-412","EDAC","UCON00802","HDMI Connector, Right Angle, 19 Contacts, Receptacle, Surface Mount, Surface Mount Right Angle"
"","","J11","USB_OTG","Connector:USB_OTG","CM4IO:USB_Micro-B_EDAC_UCON00686","https://cdn.amphenol-icc.com/media/wysiwyg/files/documentation/datasheet/inputoutput/io_usb_micro.pd","Digikey","609-4050-2-ND","690-005-298-486","EDAC","UCON00686","USB - micro B USB 2.0 Receptacle Connector 5 Position Surface Mount, Right Angle; Through Hole"
"","","J12","10018783-11200TLF","CM4IO:PCIe-x1","CM4IO:PCIex1-36","https://www.mouser.co.uk/datasheet/2/18/10018783-1525093.pdf","Mouser","649-10018783-1200TLF","10018783-11200TLF","Amphenol FCI","","PCI Express/PCI Connectors PCIE THROUGH HOLE 36P"
"","","J13","690-008-221-904","CM4IO:USB_67298-4090","CM4IO:MOLEX_USB_67298-4090","https://www.molex.com/pdm_docs/sd/672984090_sd.pdf","Farnell","	2751688","690-008-221-904","EDAC","UCON00727","USB-A (USB TYPE-A), Stacked Receptacle Connector 8 Position Through Hole, Right Angle"
"","","J14","Conn_02x05_Odd_Even","Connector_Generic:Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","https://www.toby.co.uk/uploads/publications/1673.pdf","Toby","THD-05-R","THD-05-R","Toby","","PinHeader_2x05_P2.54mm_Vertical"
"","","J15","Conn_01x22_Female","Connector:Conn_01x22_Female","Connector_FFC-FPC:Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal","https://www.hirose.com/product/document?clcode=&productname=&series=FH12&documenttype=Catalog&lang=en&documentid=D31648_en","Mouser","798-FH12-22S-0.5SH55","FH12-22S-0.5SH55","Hirose","","22 Position FFC, FPC Connector Contacts, Bottom 0.020"" (0.50mm) Surface Mount, Right Angle"
"","","J16","Conn_01x22_Female","Connector:Conn_01x22_Female","Connector_FFC-FPC:Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal","https://www.hirose.com/product/document?clcode=&productname=&series=FH12&documenttype=Catalog&lang=en&documentid=D31648_en","Mouser","798-FH12-22S-0.5SH55","FH12-22S-0.5SH55","Hirose","","22 Position FFC, FPC Connector Contacts, Bottom 0.020"" (0.50mm) Surface Mount, Right Angle"
"","","J22","690-019-298-412","CM4IO:HDMI_A_1.4","CM4IO:EDAC 690-019-298-412","https://www.tme.eu/Document/f15dffbcfad8545e17826f72d36911c8/206A-SEAN-R03.pdf","Farnell","2614936","690-019-298-412","EDAC","UCON00802","HDMI Connector, Right Angle, 19 Contacts, Receptacle, Surface Mount, Surface Mount Right Angle"
"","","L3","SRN6045TA-3R3Y","pspice:INDUCTOR","Inductor_SMD:L_Bourns_SRN6045TA","https://www.bourns.com/docs/Product-Datasheets/SRN6045TA.pdf","Farnell","2616889","SRN6045TA-3R3Y","Bourns","","3.3µH Semi-Shielded Wirewound Inductor 7.8A 21mOhm Nonstandard"
"","","Module1","ComputeModule4","CM4IO:ComputeModule4-CM4","CM4IO:Raspberry-Pi-4-Compute-Module","","Hirose","2off DF40C-100DS-0.4V","2off DF40C-100DS-0.4V","Hirose","","	100 Position Connector Receptacle, Center Strip Contacts Surface Mount Gold"
"","","R1","1k","Device:R","Resistor_SMD:R_0402_1005Metric","https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/mcr-e.pdf","Farnell","9239235","RK73H1ETTP1001F","KOA EUROPE GMBH","125049511","Resistor 1K M1005 1% 63mW"
"","","R4","nf","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/mcr-e.pdf","nf","nf","nf","","",""
"","","R5","0R","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/mcr-e.pdf","Farnell","9233750","MCR10EZPJ000","Rohm","121629591","Resistor 0R M2012 5% "
"","","R6","2.2K 1%","Device:R","Resistor_SMD:R_0402_1005Metric","https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/mcr-e.pdf","Farnell","9239278","RK73G1ETQTP2201D         ","KOA EUROPE GMBH","120889581","Resistor 2.2K M1005 1% 63mW"
"","","R7","2.2K 1%","Device:R","Resistor_SMD:R_0402_1005Metric","https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/mcr-e.pdf","Farnell","9239278","RK73G1ETQTP2201D         ","KOA EUROPE GMBH","120889581","Resistor 2.2K M1005 1% 63mW"
"","","R8","2.2K 1%","Device:R","Resistor_SMD:R_0402_1005Metric","https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/mcr-e.pdf","Farnell","9239278","RK73G1ETQTP2201D         ","KOA EUROPE GMBH","120889581","Resistor 2.2K M1005 1% 63mW"
